scientific_name,author,gbif_id,plantnet_id,powo_id,iucn_category,common_names
Abuta grandifolia,(Mart.) Sandwith,3830518,1402329,null,LC,Leaf
Abuta grisebachii,Triana & Planch.,3830510,1600903,null,LC,Shield Leaf
Abuta imene,(Mart.) Eichler,3830486,1402330,null,LC,
Abuta rufescens,Aubl.,3830210,1402331,null,LC,Bigggg
Abuta sandwithiana,Krukoff & Barneby,3830202,1402332,null,LC,
Acacia mangium,Willd.,2979091,1382099,null,LC,Black wattle; Hickory wattle; Northern wattle; Sally wattle; Sabah salwood; Broadleaf salwood; Brown salwood; Mangium
Acalypha macrostachya,Jacq.,3056437,1542499,null,LC,Fire Dragon; Round Copperleaf; Fuzzy Dhang; Jacob's Coat; Scarlet Acalypha; Rabo de Gato
Acioa edulis,Prance,2984895,1418426,null,LC,
Acioa guianensis,Aubl.,2984898,1400994,null,LC,
Acioa longipendula,(Pilg.) Sothers & Prance,9517391,1731195,null,LC,
Acmanthera latifolia,(A.Juss.) Griseb.,3982485,1841426,null,VU,
Acmanthera longifolia,Nied.,3982476,1591319,null,CR,
Acmanthera parviflora,W.R.Anderson,3982459,1591321,null,EN,
Acrocomia aculeata,(Jacq.) Lodd. ex R.Keith,7413879,1722711,null,LC,Paraguay palm; Corozo; Macaw palm; Mucaja acrocomia; Totai palm; Gru Gru Boeuf Palm
Adelia ricinella,L.,5380439,1542722,null,LC,Wild lime
Adenanthera pavonina,L.,2951846,1366906,null,LC,Coralwood; Red sandalwood-tree; Sandal beadtree; Sandalwood-tree; Zumbictree; Beadtree; Red beadtree; Red beantree; Circassian-tree; False jequirity; False red-sandalwood; Red-sandalwood; Coral Tree; Red bead tree; Circassian seed; Red Lucky Seed; Coral bean tree; False wiliwili; Red sandlewood; Condoriwood; Coral pea; Sandal bead tree; Circassian bean tree; Acacia Coral; Agati Petite Feuille; Arbre á Æglise; Barbados Pride; Bois Noir Rouge; Bois Noir de Bourbon; Bois Noir á Graines Rouges; Bois Noir á la Graine; Circassian Bean; Curly Bean; False wili wili; Jumbi Bead; Peacock Flower-fence; Vaivai Ni Vavalagi; Saga; Saga Tree
Adenocalymma bracteosum,(DC.) L.G.Lohmann,7585564,1476326,null,LC,
Adenophaedra grandifolia,(Klotzsch) Müll.Arg.,3061267,1404003,null,LC,
Adiscanthus fusciflorus,Ducke,3835301,1681941,null,LC,
Aegiphila hoehnei,Moldenke,7784548,1558479,null,LC,
Aegiphila integrifolia,(Jacq.) B.D.Jacks.,2925468,1403675,null,LC,Entireleaf Spiritweed
Aegiphila laevis,(Aubl.) J.F.Gmel.,7802279,1403676,null,,
Aegiphila membranacea,Turcz.,7307854,1403673,null,LC,
Aegiphila mollis,Kunth,7307838,1558499,null,LC,
Aegiphila racemosa,Vell.,7307705,1403678,null,,
Aegiphila smithii,Moldenke,3890618,1558536,null,LC,
Aegiphila vitelliniflora,Klotzsch,7832078,1558557,null,LC,
Aeschynomene ciliata,Vogel,2949280,1569619,null,LC,
Agonandra brasiliensis,Benth. & Hook.f.,7321376,1723163,null,LC,
Agonandra silvatica,Ducke,3658855,1402626,null,LC,
Agouticarpa curviflora,(Dwyer) C.H.Perss.,2898485,1670187,null,LC,
Aiouea guianensis,Aubl.,7758257,1401901,null,LC,
Aiouea myristicoides,Mez,4183431,1565132,null,LC,
Aiouea saligna,Meisn.,4183206,1565136,null,LC,
Aiouea tomentella,(Mez) Renner,4183054,1565138,null,LC,
Albizia subdimidiata,(Splitg.) Barneby & J.W.Grimes,2973285,1405104,null,LC,
Alchornea castaneifolia,(Humb. & Bonpl. ex Willd.) A.Juss.,3055543,1542744,null,LC,
Alchornea discolor,Poepp.,3055354,1406250,null,LC,
Alchornea fluviatilis,Secco,3055429,1400318,null,LC,
Alchornea glandulosa,Poepp.,3055361,1542751,null,LC,
Alchornea latifolia,Sw.,3055359,1542759,null,LC,Achiotillo; Dove wood
Alchornea triplinervia,(Spreng.) Müll.Arg.,3055511,1401661,null,LC,
Alchorneopsis floribunda,(Benth.) Müll.Arg.,3055091,1401662,null,LC,Palo de gallina
Aldina heterophylla,Benth.,5360773,1569846,null,VU,
Aldina latifolia,Spruce ex Benth.,5360758,1830558,null,LC,
Aldina microphylla,M.Yu.Gontsch. & Yakovlev,5629498,1734267,null,DD,
Aldina occidentalis,Ducke,5360764,1569852,null,DD,
Alexa grandiflora,Ducke,2976598,1402796,null,,
Alibertia bertierifolia,K.Schum.,5335641,1403242,null,LC,
Alibertia claviflora,K.Schum.,5340527,1670258,null,LC,
Alibertia edulis,(Rich.) A.Rich. ex DC.,5335670,1403243,null,LC,
Alibertia latifolia,(Benth.) K.Schum.,5335657,1403244,null,LC,
Alibertia sorbilis,Huber ex Ducke,5340530,1420481,null,LC,
Allamanda cathartica,L.,3169836,1369872,null,,Golden-trumpet; Allamanda; Yellow allamanda; Common trumpetvine; Buttercup; Yellow Bell; Common allamanda; Bush allamanda; Alamanda; Hoa huỳnh anh; অলকানন্দা
Allantoma decandra,"(Ducke) S.A.Mori, Ya Y.Huang & Prance",4161401,1567595,null,,
Allantoma integrifolia,"(Ducke) S.A.Mori, Ya Y.Huang & Prance",4161383,1567596,null,LC,
Allantoma lineata,(Mart. ex O.Berg) Miers,3082999,1567598,null,,
Allophylus amazonicus,(Mart.) Radlk.,7265045,1685415,null,LC,
Allophylus edulis,"(A.St.-Hil., A.Juss. & Cambess.) Radlk.",7883158,1420613,null,LC,Chal-Chal
Allophylus latifolius,Huber,5577415,1406950,null,,
Amaioua contracta,Standl.,2901142,1670294,null,DD,
Amaioua glomerulata,(Lam. ex Poir.) Delprete & C.H.Perss.,7686451,1400922,null,LC,
Amaioua guianensis,Aubl.,2901121,1403247,null,LC,
Amanoa glaucophylla,Müll.Arg.,3080058,1641301,null,LC,
Amanoa gracillima,W.J.Hayden,3080060,1641302,null,LC,
Amanoa guianensis,Aubl.,3080049,1401663,null,LC,
Amanoa oblongifolia,Müll.Arg.,3080043,1641306,null,LC,
Ambelania acida,Aubl.,3620808,1401739,null,LC,Bagasse
Ambelania duckei,Markgr.,3620735,1459090,null,LC,
Ampelocera edentula,Kuhlm.,4160141,1406447,null,LC,
Ampelozizyphus amazonicus,Ducke,3877225,1403235,null,LC,
