scientific_name,author,gbif_id,plantnet_id,iucn_category,common_names
Abuta grandifolia,(Mart.) Sandwith,3830518,1402329,LC,Leaf
Abuta grisebachii,Triana & Planch.,3830510,1600903,LC,Shield Leaf
Abuta imene,(Mart.) Eichler,3830486,1402330,LC,
Abuta rufescens,Aubl.,3830210,1402331,LC,Bigggg
Abuta sandwithiana,Krukoff & Barneby,3830202,1402332,LC,
Acacia mangium,Willd.,2979091,1382099,LC,Black wattle; Hickory wattle; Northern wattle; Sally wattle; Sabah salwood; Broadleaf salwood; Brown salwood; Mangium
Acalypha macrostachya,Jacq.,3056437,1542499,LC,Fire Dragon; Round Copperleaf; Fuzzy Dhang; Jacob's Coat; Scarlet Acalypha; Rabo de Gato
Acioa edulis,Prance,2984895,1418426,LC,
Acioa guianensis,Aubl.,2984898,1400994,LC,
Acioa longipendula,(Pilg.) Sothers & Prance,9517391,1731195,LC,
Acmanthera latifolia,(A.Juss.) Griseb.,3982485,1841426,VU,
Acmanthera longifolia,Nied.,3982476,1591319,CR,
Acmanthera parviflora,W.R.Anderson,3982459,1591321,EN,
Acrocomia aculeata,(Jacq.) Lodd. ex R.Keith,7413879,1722711,LC,Paraguay palm; Corozo; Macaw palm; Mucaja acrocomia; Totai palm; Gru Gru Boeuf Palm
Adelia ricinella,L.,5380439,1542722,LC,Wild lime
Adenanthera pavonina,L.,2951846,1366906,LC,Coralwood; Red sandalwood-tree; Sandal beadtree; Sandalwood-tree; Zumbictree; Beadtree; Red beadtree; Red beantree; Circassian-tree; False jequirity; False red-sandalwood; Red-sandalwood; Coral Tree; Red bead tree; Circassian seed; Red Lucky Seed; Coral bean tree; False wiliwili; Red sandlewood; Condoriwood; Coral pea; Sandal bead tree; Circassian bean tree; Acacia Coral; Agati Petite Feuille; Arbre á Æglise; Barbados Pride; Bois Noir Rouge; Bois Noir de Bourbon; Bois Noir á Graines Rouges; Bois Noir á la Graine; Circassian Bean; Curly Bean; False wili wili; Jumbi Bead; Peacock Flower-fence; Vaivai Ni Vavalagi; Saga Tree; Saga
Adenocalymma bracteosum,(DC.) L.G.Lohmann,7585564,1476326,LC,
Adenophaedra grandifolia,(Klotzsch) Müll.Arg.,3061267,1404003,LC,
Adiscanthus fusciflorus,Ducke,3835301,1681941,LC,
Aegiphila hoehnei,Moldenke,7784548,1558479,LC,
Aegiphila integrifolia,(Jacq.) B.D.Jacks.,2925468,1403675,LC,Entireleaf Spiritweed
Aegiphila laevis,(Aubl.) J.F.Gmel.,7802279,1403676,,
Aegiphila membranacea,Turcz.,7307854,1403673,LC,
Aegiphila mollis,Kunth,7307838,1558499,LC,
Aegiphila racemosa,Vell.,7307705,1403678,,
Aegiphila smithii,Moldenke,3890618,1558536,LC,
Aegiphila vitelliniflora,Klotzsch,7832078,1558557,LC,
Aeschynomene ciliata,Vogel,2949280,1569619,LC,
Agonandra brasiliensis,Benth. & Hook.f.,7321376,1723163,LC,
Agonandra silvatica,Ducke,3658855,1402626,LC,
Agouticarpa curviflora,(Dwyer) C.H.Perss.,2898485,1670187,LC,
Aiouea guianensis,Aubl.,7758257,1401901,LC,
Aiouea myristicoides,Mez,4183431,1565132,LC,
Aiouea saligna,Meisn.,4183206,1565136,LC,
Aiouea tomentella,(Mez) Renner,4183054,1565138,LC,
Albizia subdimidiata,(Splitg.) Barneby & J.W.Grimes,2973285,1405104,LC,
Alchornea castaneifolia,(Humb. & Bonpl. ex Willd.) A.Juss.,3055543,1542744,LC,
Alchornea discolor,Poepp.,3055354,1406250,LC,
Alchornea fluviatilis,Secco,3055429,1400318,LC,
Alchornea glandulosa,Poepp.,3055361,1542751,LC,
Alchornea latifolia,Sw.,3055359,1542759,LC,Achiotillo; Dove wood
Alchornea triplinervia,(Spreng.) Müll.Arg.,3055511,1401661,LC,
Alchorneopsis floribunda,(Benth.) Müll.Arg.,3055091,1401662,LC,Palo de gallina
Aldina heterophylla,Benth.,5360773,1569846,VU,
Aldina latifolia,Spruce ex Benth.,5360758,1830558,LC,
Aldina microphylla,M.Yu.Gontsch. & Yakovlev,5629498,1734267,DD,
Aldina occidentalis,Ducke,5360764,1569852,DD,
Alexa grandiflora,Ducke,2976598,1402796,,
Alibertia bertierifolia,K.Schum.,5335641,1403242,LC,
Alibertia claviflora,K.Schum.,5340527,1670258,LC,
Alibertia edulis,(Rich.) A.Rich. ex DC.,5335670,1403243,LC,
Alibertia latifolia,(Benth.) K.Schum.,5335657,1403244,LC,
Alibertia sorbilis,Huber ex Ducke,5340530,1420481,LC,
Allamanda cathartica,L.,3169836,1369872,,Golden-trumpet; Allamanda; Yellow allamanda; Common trumpetvine; Buttercup; Yellow Bell; Common allamanda; Bush allamanda; Alamanda; Hoa huỳnh anh; অলকানন্দা
Allantoma decandra,"(Ducke) S.A.Mori, Ya Y.Huang & Prance",4161401,1567595,,
Allantoma integrifolia,"(Ducke) S.A.Mori, Ya Y.Huang & Prance",4161383,1567596,LC,
Allantoma lineata,(Mart. ex O.Berg) Miers,3082999,1567598,,
Allophylus amazonicus,(Mart.) Radlk.,7265045,1685415,LC,
Allophylus edulis,"(A.St.-Hil., A.Juss. & Cambess.) Radlk.",7883158,1420613,LC,Chal-Chal
Allophylus latifolius,Huber,5577415,1406950,,
Amaioua contracta,Standl.,2901142,1670294,DD,
Amaioua glomerulata,(Lam. ex Poir.) Delprete & C.H.Perss.,7686451,1400922,LC,
Amaioua guianensis,Aubl.,2901121,1403247,LC,
Amanoa glaucophylla,Müll.Arg.,3080058,1641301,LC,
Amanoa gracillima,W.J.Hayden,3080060,1641302,LC,
Amanoa guianensis,Aubl.,3080049,1401663,LC,
Amanoa oblongifolia,Müll.Arg.,3080043,1641306,LC,
Ambelania acida,Aubl.,3620808,1401739,LC,Bagasse
Ambelania duckei,Markgr.,3620735,1459090,LC,
Ampelocera edentula,Kuhlm.,4160141,1406447,LC,
Ampelozizyphus amazonicus,Ducke,3877225,1403235,LC,
Amphirrhox longifolia,(A.St.-Hil.) Spreng.,4075006,1406218,LC,
Anacardium giganteum,Hancock ex Engl.,7908525,1406439,LC,Cajui
Anacardium microsepalum,Loes.,5544277,1454093,LC,
Anacardium occidentale,L.,5421368,1384594,LC,Cashew; Cashewnut; Cashew apple; Cashew-nut tree; Maranon; Pajuil; Caju; జీడి మామిడి; Jambu Mente; Cushew Tree
Anacardium parvifolium,Ducke,5544253,1454097,,
Anacardium spruceanum,Benth. ex Engl.,5544228,1400550,,
Anadenanthera peregrina,(L.) Speg.,2952808,1405890,LC,Cohoba; Cohoba-tree
Anaxagorea brachycarpa,R.E.Fr.,3156889,1454645,LC,
Anaxagorea brevipes,Benth.,3156884,1404027,LC,
Anaxagorea dolichocarpa,Sprague & Sandwith,3156852,1401065,LC,
Anaxagorea manausensis,Timmerman,3156880,1454652,LC,
Anaxagorea phaeocarpa,Mart.,3156862,1401096,LC,
Anaxagorea rufa,Timmerman,3156883,1454657,LC,
Andira inermis,(W.Wright) DC.,2952214,1719785,LC,Cabbagebark Tree; Angelin; Angelin-tree; Cabbagebark; Cabbagetree; Bastard mahogany; Dog almond; Partridgewood; Mountain almond
Andira micrantha,Ducke,2952210,1570049,LC,
Andira parviflora,Ducke,2952165,1570054,LC,
Andira surinamensis,(Bondt) Splitg. ex Pulle,2952202,1402801,LC,
Andira trifoliolata,Ducke,2952156,1570067,LC,
Andira unifoliolata,Ducke,2952176,1570068,LC,
